race_id,cycle,chamber,p_consensus,outcome_dem,fec_z,trends_z,gdelt_z,youtube_z,adspend_z,econ_claims_z,econ_coincident_z,econ_unemployment_z
sen-mt-24,2024,senate,0.3,0,-1.0,-1.5,-0.8,-1.3,-0.5,-2.068,0.409,0.92
sen-oh-24,2024,senate,0.48,0,-0.6,-1.2,-0.7,-1.0,-0.3,-0.298,-0.696,-0.69
sen-pa-24,2024,senate,0.65,0,-0.8,-1.4,-0.9,-1.1,-0.4,0.423,-0.652,-1.02
sen-mi-24,2024,senate,0.55,1,0.4,0.1,-0.1,0.2,0.3,-1.056,-0.759,-0.717
sen-wi-24,2024,senate,0.55,1,0.3,0.0,-0.2,0.1,0.2,-1.333,-0.288,-0.608
sen-nv-24,2024,senate,0.55,1,0.2,-0.1,-0.3,0.0,0.1,0.55,0.373,0.317
sen-az-24,2024,senate,0.58,1,0.5,0.2,0.0,0.3,0.4,1.263,-1.445,-2.0
sen-tx-24,2024,senate,0.3,0,0.9,0.6,0.4,1.1,0.7,0.245,0.619,0.521
gov-nc-24,2024,governor,0.7,1,1.4,1.2,1.6,1.5,0.8,-3.0,-1.993,-0.08
gov-nh-24,2024,governor,0.45,0,-0.3,-0.6,-0.2,-0.4,-0.1,-0.676,1.285,1.334
