lambda,brier,n,flags,flag_precision,flag_recall
0.0,0.22805744680851067,47,0,,0.0
0.01,0.22750101619473104,47,0,,0.0
0.02,0.22694937709956256,47,0,,0.0
0.03,0.22640252952300502,47,0,,0.0
0.04,0.22586047346505875,47,0,,0.0
0.05,0.22532320892572336,47,0,,0.0
0.06,0.22479073590499904,47,0,,0.0
0.07,0.22426305440288588,47,0,,0.0
0.08,0.2237401644193837,47,0,,0.0
0.09,0.22322206595449262,47,1,0.0,0.0
0.1,0.22270875900821258,47,2,0.0,0.0
0.11,0.22220024358054363,47,2,0.0,0.0
0.12,0.22169651967148568,47,2,0.0,0.0
0.13,0.22119758728103883,47,2,0.0,0.0
0.14,0.2207034464092031,47,2,0.0,0.0
0.15,0.22021409705597833,47,3,0.3333333333333333,0.0625
0.16,0.21972953922136468,47,3,0.3333333333333333,0.0625
0.17,0.21924977290536202,47,3,0.3333333333333333,0.0625
0.18,0.2187747981079705,47,3,0.3333333333333333,0.0625
0.19,0.21830461482918997,47,3,0.3333333333333333,0.0625
0.2,0.21783922306902062,47,4,0.25,0.0625
0.21,0.21737862282746223,47,5,0.2,0.0625
0.22,0.21692281410451483,47,5,0.2,0.0625
0.23,0.21647179690017868,47,5,0.2,0.0625
0.24,0.21602557121445345,47,5,0.2,0.0625
0.25,0.2155841370473393,47,5,0.2,0.0625
0.26,0.21514749439883624,47,5,0.2,0.0625
0.27,0.21471564326894427,47,7,0.2857142857142857,0.125
0.28,0.2142885836576633,47,7,0.2857142857142857,0.125
0.29,0.21386631556499333,47,8,0.25,0.125
0.3,0.21344883899093461,47,8,0.25,0.125
